id,perseverance_effort,consistency_interests,grit,setback_severity,emotional_recovery,cognitive_recovery,physical_restoration,social_support,practical_resources,feedback_quality,opportunity_access,recovery_capacity,burnout,adaptive_persistence
1,0.82,0.64,0.748,-0.28,0.74,0.82,0.66,0.58,0.62,0.61,0.70,0.686,-0.30,1.18
2,-0.38,0.11,-0.184,0.66,-0.22,0.10,0.08,0.12,-0.18,0.20,-0.42,-0.017,0.50,-0.46
3,1.15,0.92,1.058,-0.44,0.90,0.94,0.86,0.80,0.78,0.88,0.96,0.858,-0.54,1.78
4,0.12,-0.51,-0.132,0.34,0.08,0.16,-0.05,-0.12,0.04,-0.42,-0.18,0.026,0.36,-0.20
5,-0.80,-0.63,-0.732,0.92,-0.64,-0.68,-0.62,-0.48,-0.56,-0.56,-0.74,-0.595,0.86,-1.28
6,0.59,0.74,0.650,-0.18,0.72,0.76,0.73,0.70,0.68,0.71,0.66,0.718,-0.24,1.12
7,0.34,-0.07,0.176,0.10,0.36,0.40,0.30,0.34,0.28,0.31,0.27,0.340,0.04,0.42
8,-0.44,-0.72,-0.552,0.76,-0.52,-0.58,-0.41,-0.29,-0.46,-0.63,-0.58,-0.456,0.72,-0.96
9,0.96,0.52,0.784,-0.36,0.82,0.86,0.77,0.84,0.78,0.82,0.78,0.814,-0.40,1.42
10,-0.22,0.03,-0.120,0.42,0.12,0.18,0.11,0.14,0.06,0.08,-0.33,0.124,0.28,-0.26
