id,perseverance_effort,consistency_interests,grit,cumulative_cost,health_risk,goal_misalignment,opportunity_cost,future_value,learning_potential,purpose_alignment,social_support,financial_security,feedback_responsiveness,sunk_cost,identity_pressure,alternative_goal_value,quitting_pressure,overpersistence_risk,adaptive_quitting_readiness,sustainable_persistence
1,0.82,0.64,0.748,0.22,0.18,0.10,0.20,0.76,0.72,0.82,0.70,0.62,0.78,0.34,0.30,0.64,-0.62,-0.20,0.18,1.08
2,-0.38,0.11,-0.184,0.72,0.68,0.76,0.66,-0.22,-0.18,-0.30,0.12,-0.24,0.08,0.70,0.62,0.40,1.02,0.78,0.64,-0.78
3,1.15,0.92,1.058,0.86,0.78,0.82,0.74,0.12,0.10,0.08,0.28,0.20,0.18,0.90,0.86,0.22,0.88,1.02,-0.06,-0.42
4,0.12,-0.51,-0.132,0.20,0.12,0.10,0.16,0.60,0.56,0.64,0.48,0.46,0.52,0.18,0.20,0.58,-0.46,-0.24,0.20,0.84
5,-0.80,-0.63,-0.732,0.92,0.88,0.86,0.80,-0.62,-0.58,-0.70,-0.48,-0.52,-0.56,0.84,0.78,0.10,1.38,0.96,0.52,-1.32
6,0.59,0.74,0.650,0.16,0.08,0.04,0.10,0.80,0.78,0.84,0.72,0.68,0.76,0.28,0.24,0.76,-0.74,-0.30,0.16,1.20
7,0.34,-0.07,0.176,0.40,0.32,0.36,0.34,0.34,0.30,0.38,0.36,0.30,0.34,0.42,0.40,0.46,0.18,0.24,0.36,0.24
8,-0.44,-0.72,-0.552,0.78,0.74,0.70,0.76,-0.46,-0.42,-0.50,-0.30,-0.36,-0.40,0.76,0.72,0.24,1.12,0.86,0.42,-1.02
9,0.96,0.52,0.784,0.42,0.30,0.28,0.36,0.72,0.68,0.76,0.74,0.66,0.70,0.50,0.46,0.82,-0.28,0.02,0.60,0.88
10,-0.22,0.03,-0.120,0.56,0.52,0.48,0.50,0.10,0.08,0.12,0.14,0.06,0.10,0.54,0.50,0.28,0.62,0.48,0.32,-0.44
